"Country","QualityofLifeIndex","PurchasingPowerIndex","SafetyIndex","HealthCareIndex","CostofLivingIndex","PropertyPricetoIncomeRatio","TrafficCommuteTimeIndex","PollutionIndex","ClimateIndex","Year"
"Serbia",138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9,2016
"Turkey",137.3,64.1,60.6,73,45.1,8.1,48.1,65.7,74.2,2016
"Mexico",137,76.5,49.2,68.1,35,6.2,37.1,64.6,58.8,2016
"Lithuania",134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4,2016
"Colombia",128.5,46,51.5,73.2,29.2,16.3,44.2,64.4,84.5,2016
"North Macedonia",115,46.7,62,60,31,15.5,40.7,85.3,80.6,2016
"India",109.3,89.6,53.4,66.5,24.1,10.5,46,77,19.7,2016
"Hong Kong",108.3,102.3,79.2,74.3,81.5,37.6,46.4,67.2,39.9,2016
"Brazil",101,48.7,28.8,51.1,38.9,17.9,46.1,61.2,72.6,2016
"China",99,77.4,67.9,61.2,48.1,25,44.1,85.5,46.6,2016
"Iran",96.9,47.7,47.6,49.8,41.1,14.8,48.1,84.2,74.6,2016
"Pakistan",94,43.3,43.4,61.3,26.7,15.3,36.8,76.6,41.2,2016
"Singapore",93.1,110.5,84.2,69.1,83.7,23.2,43.4,38.8,-66.6,2016
"Egypt",88.8,40.3,43.5,46.6,36.7,10.8,50.8,96,79.7,2016
"Russia",88.3,57.4,52.7,54.1,38.5,12.8,49.1,64.5,10.9,2016
"Ukraine",85.6,29.7,51.4,49.7,28.6,26.2,40,67.8,50.4,2016
"Indonesia",72.2,35.5,53,62.6,36.3,19.5,41.4,75.1,8,2016
"Philippines",65.8,42.9,62.4,72.3,34.7,19.2,46,73.1,-27,2016
"Thailand",63.8,40.1,57.4,80.8,40,24.4,43.1,71.5,-23.3,2016
"Malaysia",63.8,96.3,31.4,66.4,37.5,9.1,39.8,67.5,-71.2,2016
"Austria",190.4,95.7,80.8,80.9,71.5,9.7,26.3,21.9,62.1,2017
"Germany",189.7,124.9,68,76.7,65.5,7.5,30.6,27.1,58,2017
"Denmark",184.9,98.8,78.9,75.4,83,8.2,28.4,26,64.2,2017
"New Zealand",184.7,89.9,61.2,70.6,80.8,8.1,30.2,20,85.4,2017
"Spain",183.6,87.9,68.7,76.7,55,8.3,32.6,37.5,88,2017
"Finland",182.9,115,75.4,74.8,73.1,7.6,34.9,13.4,35.8,2017
"United States",179.7,123.2,51.2,68.2,75.4,3.3,34.6,31.2,67.9,2017
"Portugal",178.4,62.7,64.6,70.3,49.2,8.9,30.4,28.9,92.2,2017
"Australia",176.5,101.9,57.6,74.2,80.7,9.2,34.7,24.6,72.8,2017
"Slovenia",175.5,78.2,75.9,64.4,53.2,8.3,26.5,26.4,60.5,2017
"Netherlands",175.2,86.5,70.1,82.5,72.5,8.5,33.9,27.6,61.9,2017
"Switzerland",173.5,95.3,77.6,71,122.1,14,28.3,20.8,69.3,2017
"United Kingdom",172.9,96.9,58.8,74.3,69.5,10,34.6,34.9,78.9,2017
"Sweden",172.7,107.2,53.4,70.6,75.9,11.8,31.6,17.9,59.1,2017
"Estonia",171.1,68.5,77,71.3,49.5,10.5,26.7,17.7,44.6,2017
"Croatia",170.6,60.7,72.2,65.5,48,10.9,28.5,33.3,82,2017
"Canada",167.2,108,60.8,69.2,70.2,6.4,36.2,26.5,44.3,2017
"Ireland",166.9,103.5,54.2,53.3,77,7,35,27.2,70.2,2017
"Cyprus",166.6,95.9,67.5,54.2,54.1,5.2,20.3,54.8,71,2017
"Norway",165.9,105.6,54.3,74.2,106.3,7.9,31.3,19.5,49.3,2017
"Czech Republic",165.4,76.2,69.8,74.1,41.2,10.7,32,41,65.3,2017
"South Korea",162.5,102.4,74.7,83.2,75.4,12.4,34.2,52.7,61.2,2017
"Belgium",160.5,91,55.5,78.9,75.4,7,36.3,48.9,75.2,2017
"France",160.3,87.3,56.3,78.6,74.9,11.6,35.8,40.2,73.9,2017
